Username, PREMIUM?, Current Stars, Team, Day 1 Action, Day 2 Action, 
1baussguy, , 2, Florida, N/A, FIU, 
33182gator, , -1, UF, N/A, N/A, 
Abronasty, , 2, Florida, N/A, FIU, 
afgator58, , 2, Florida, Florida State, UCF, 
alberthegator, , 2, Florida, USF, FAU, 
Albireo-, , 2, Florida, Florida, USF, 
Alramas, , 2, Florida, Florida, FIU, 
andjuan, , 2, Florida, N/A, USF, 
AnExpertInTheField, , 1, Florida, N/A, Florida, 
aryndelvyst, , 2, Florida, N/A, USF, 
awedaniel, , 2, Florida, Florida, UCF, 
Awildyoyoloach, , 2, Florida, N/A, USF, 
berggrant, , 1, Florida, N/A, FAU, 
bgr308, , 2, Florida, Florida, USF, 
BigEast55, , 2, Florida, Florida, UCF, 
bighead8819, , 2, Florida, USF, FAU, 
BigPlayChad8, , 1, Florida, N/A, FIU, 
BlackTieButtPlug, , 2, Florida, N/A, FAU, 
blob24, , 1, Florida, N/A, UCF, 
bob237189, , 3, Florida, Florida State, UCF, 
Brantsy, , 1, Florida, N/A, USF, 
BrazilianRider, , 4, Florida, N/A, Florida State, 
break4, , 2, Florida, USF, Florida, 
brentlovato, , 1, Florida, N/A, USF, 
BullAlligator, , 1, Florida, N/A, USF, 
camilo99, , 1, Florida, N/A, FAU, 
CampbellsTurkeySoup, , 2, Florida, N/A, UCF, 
Camwhite_guy, , 2, Florida, N/A, FIU, 
cismale_narwhale, , 1, Florida, Florida State, USF, 
Codeheff12, , -1, UF, N/A, N/A, 
collio13, , 2, Florida, N/A, FAU, 
conner199411, , 2, Florida, N/A, FAU, 
CripzyChiken, , 3, Florida, UCF, FAU, 
Crisscross4767, , 2, Florida, N/A, USF, 
csw1, , 1, Florida, N/A, FAU, 
CtrlShiftB, , 3, Florida, USF, FAU, 
DangerouslyCheeZ, , -1, UF, N/A, N/A, 
DankeyLord, , 2, Florida, Florida, FIU, 
DanManFan, , -1, UF, N/A, N/A, 
deadmanrunning11, , 4, Florida, Florida, FIU, 
deathtostatic, , 1, Florida, UCF, USF, 
DemogorGator, , 2, Florida, Florida, FAU, 
Devastating, , 1, Florida, N/A, USF, 
djpav, , 1, Florida, N/A, USF, 
DougNussmeier, , -1, UF, N/A, N/A, 
DrunkBabeRuth, , 2, Florida, USF, UCF, 
Echo354, , 4, Florida, USF, UCF, 
edrmeow, , 2, Florida, N/A, FAU, 
ejmmc17, , 2, Florida, N/A, FIU, 
enzo_dubois, , 2, Florida, UCF, UCF, 
Epsilon_Omega_Delta, , 2, Chaos, N/A, Washington, 
EstablishmentZorro, , -1, UF, N/A, N/A, 
EverythingGoodWas, , -1, UF, N/A, N/A, 
Excuse_Me_Mr_Pink, , 1, Florida, N/A, Florida State, 
fewfiet, , 1, Florida, Florida, USF, 
